Speed,Vision,Run,TTL
6.393679,13.14236,9.167719,0
6.618371,6.647596,8.481256,0
3.794171,11.17871,4.886638,0
3.086864,7.599796,3.874725,0
9.620396,12.19599,11.64375,0
2.895979,5.70597,4.231382,0
2.599551,12.58989,3.627355,0
5.16001,13.66941,6.320894,0
4.409766,10.06361,6.394326,0
2.144913,9.595999,3.071962,0
6.090893,12.98427,8.075462,0
8.806806,12.30989,12.98334,0
8.178672,7.443072,11.03861,0
9.865821,6.787262,13.94543,0
9.482497,9.00015,13.16852,0
3.162271,13.79069,4.156968,0
3.730648,9.913333,4.810068,0
9.709015,9.63195,13.55639,0
6.848517,5.156911,8.359864,0
9.485766,12.73409,13.73789,0
